Subject,Epoch,StartTime,Electrode,Electrode_Label,Delta,Theta,Alpha,Beta
EPCTL01,0,0,0,Fp1-Ref,0.48067955793435185,0.17536899282555807,0.07364417892416864,0.11172251255697285
EPCTL01,0,0,1,Fp2-Ref,0.5265959914263545,0.15035078210643998,0.0733817802692972,0.10697286673622597
EPCTL01,0,0,2,F3-Ref,0.36695357333418716,0.18485025905705338,0.0810268931028422,0.19251039149378094
EPCTL01,0,0,3,F4-Ref,0.4641766209117354,0.1608501488237721,0.07394184925643758,0.14968621974024848
EPCTL01,0,0,4,C3-Ref,0.336074377843354,0.16453763663722382,0.08949370949107108,0.23444193142406225
EPCTL01,0,0,5,C4-Ref,0.34121139194189615,0.1632677162967784,0.08838565396384758,0.23163219592010273
EPCTL01,0,0,6,P3-Ref,0.38462343391091003,0.23204583024775116,0.09068182140118682,0.12272649668551489
EPCTL01,0,0,7,P4-Ref,0.335001611033162,0.22118168395082752,0.10731091970383103,0.15235228284108407
EPCTL01,0,0,8,O1-Ref,0.45857366415695466,0.22442311264820217,0.07815104890655687,0.08048924118093177
EPCTL01,0,0,9,O2-Ref,0.3896548530999703,0.23659174306889225,0.09208463127832246,0.10081257503019782
EPCTL01,0,0,10,F7-Ref,0.458854213200034,0.19089123137352165,0.07171629122337711,0.1082618854175362
EPCTL01,0,0,11,F8-Ref,0.5264630524284484,0.14938570511867802,0.06255072159559262,0.10646669530263561
EPCTL01,0,0,12,T3-Ref,0.41250499471321794,0.21347808899997145,0.07717706492925235,0.1108639620444205
EPCTL01,0,0,13,T4-Ref,0.3966189159254979,0.2002929959837264,0.08724141240056757,0.1211992219434768
EPCTL01,0,0,14,T5-Ref,0.3981973600019663,0.22875954274747393,0.0922056650282841,0.11065652554727473
EPCTL01,0,0,15,T6-Ref,0.3284176541125445,0.23600533140524962,0.11942920386874395,0.12172210727372651
EPCTL01,0,0,16,FZ-Ref,0.39546728456519753,0.209805835438859,0.08057055700286071,0.13882292655511164
EPCTL01,0,0,17,CZ-Ref,0.27826539874188294,0.2539487308170942,0.10319796675872302,0.16121876334177984
EPCTL01,0,0,18,PZ-Ref,0.3815952726030206,0.22607865325373608,0.08901574118498798,0.13615944347927003
EPCTL01,0,0,19,SO1-Ref,0.4972861702537074,0.1733599172757042,0.06689363489513919,0.10611830441243714
EPCTL01,0,0,20,SO2-Ref,0.5488147398131034,0.1385324912805231,0.06605327239532868,0.10475924894490053
EPCTL01,0,0,21,F9-Ref,0.4982871322363803,0.18457687974670814,0.06285873206601371,0.0891937001270327
EPCTL01,0,0,22,F10-Ref,0.5082356860401132,0.1589119807097827,0.06279487536987317,0.10406040203451858
EPCTL01,0,0,23,ZY1,0.49790843119861455,0.18667981049824306,0.060559080097990166,0.08636391811732795
EPCTL01,0,0,24,ZY2,0.4741618890117364,0.17192150041017298,0.06507692373186122,0.11627434506794425
EPCTL01,0,0,25,T9-Ref,0.4667863149844792,0.20431792956400216,0.06649618742568476,0.0855687892547683
EPCTL01,0,0,26,T10-Ref,0.45996631841121594,0.19132868732783997,0.0713927550475691,0.09546659991999615
EPCTL01,0,0,27,P9-Ref,0.43914841762966766,0.21374371769352415,0.07640591843079274,0.10291412770671522
EPCTL01,0,0,28,P10-Ref,0.38953209408656553,0.2207940669798531,0.09172888870194082,0.11369668033534178
EPCTL01,0,0,29,AF7-Ref,0.4837739429708778,0.17971280687466584,0.06656345519138726,0.10925417273293839
